wsdldataadpt.label3;Operation
wsdldataadpt.label4;Name
wsdldataadpt.label5;Nodetype
wsdldataadpt.label6;Type
areaMaintenance;Visibility
btnRemoveValue;Clear
btnSave;Save and Close
closePage;Close Page
lblAccessPath;Name
lblIsInvisible;Invisible
lblIsVisible;Visible
lblScenario;Scenario
lblValue;Value
lblVisibility;Visibility
relc.column1;XML
reswsil.button0;Load
reswsil.label0;File/URL
rewsdld.button0;Search
rewsdld.button1;Use Default Layout
rtna.label0;Tool not available
rtna.label1;Your License does not allow to run this tool (developer license expected).
rtna.label2;Please contact your system administrator for more details.
rtna.titlebar0;Runtime error
tabFilter;Customized Layout
tabProposal;Customized proposal
sc.label0;Exchange PX by PT
sc.label1;Factor
sc.rowarea0;Accessibility
lt.pleasespeclanguage;Please specify the language name you want to compare
wsdldataadpt.labelRef;Web Service
trc.label.threadstart;Wait ...ms between thread start
trc.label.threadmin;Random between ...ms min
trc.label.threadmax;and ...ms max
trc.label.threadhint;HINT: If no ...ms max is specified, ...ms min is used as wait time.
btn.updatecrossref;Change Variable
label.variable;Variable
